frame_index,timestamp_sec,yaw_deg,pitch_deg,roll_deg,tracked_point_count,inlier_count,inlier_ratio,confidence,warnings
1,0.1,0.009663957529856328,0.9808352790423687,0.1393976626871998,971,464,0.47785787847579814,0.1370088912128344,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
2,0.2,-0.022305311514649186,0.44112643686232766,0.34340272976221176,913,319,0.3493975903614458,0.07324720569023083,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
3,0.3,0.2898255747963628,0.5626118428161547,0.2140767260820943,873,322,0.36884306987399773,0.08162712611644486,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
4,0.4,0.044492712415928184,0.44432187347883284,0.02369992681977858,851,171,0.2009400705052879,0.024226147160802042,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
5,0.5,0.09011495666060935,0.4049097200700263,-0.07055298847103426,834,166,0.19904076738609114,0.023770336248986428,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
6,0.6,-0.05517240818419381,0.4037539371448851,-0.05941447242731986,809,190,0.23485784919653893,0.03309492559753453,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
7,0.7,0.05639353192523357,1.8468270181052235,-0.1875115792901551,800,702,0.8775,0.351,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
8,0.8,0.19637239616594065,0.4347263010425499,-0.11601622195473585,792,241,0.3042929292929293,0.055556512090603,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
9,0.9,0.28838000405685704,2.6952599317050776,-0.14660127328078312,763,673,0.8820445609436435,0.3528178243774574,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
10,1.0,-0.04309379656202327,1.664446238759566,-0.3021162777817195,752,647,0.8603723404255319,0.3441489361702128,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
11,1.1,-0.012837924078715354,0.38781368442932534,-0.058789228881442196,737,201,0.2727272727272727,0.04462809917355372,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
12,1.2,-0.2183666023856349,1.704918621764694,-0.020682879873360517,722,626,0.8670360110803325,0.346814404432133,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
13,1.3,0.012504990511350353,2.718737538319397,0.10385783960259118,691,590,0.85383502170767,0.34153400868306805,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
14,1.4,-0.018599953124466294,2.678234125975551,-0.4192431627573131,668,586,0.8772455089820359,0.3508982035928144,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
15,1.5,0.13636323684254884,0.44601292074370846,-0.08245016254035226,653,170,0.26033690658499237,0.040665182958145835,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
16,1.6,0.0943157970044617,0.29662725816670626,0.13505052452953098,631,148,0.23454833597464342,0.03300775314508452,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
17,1.7,0.2401160630681738,2.237839178759199,-0.459911655807194,610,537,0.8803278688524591,0.3521311475409836,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
18,1.8,0.03143092255127643,0.9796375867832915,-0.33972078285300367,601,149,0.24792013311148087,0.03687863544120864,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
19,1.9,-0.08269302538835513,0.37704993523518815,-0.2655878973191536,595,111,0.1865546218487395,0.020881576159875716,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
20,2.0,-0.22139322499333364,0.3982946133039775,-0.18321897657658162,591,147,0.24873096446700507,0.03712025561081193,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
21,2.1,-0.15018016694245723,0.3840682063205697,0.06782606510695861,585,103,0.17606837606837608,0.018600043830813064,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
22,2.2,0.18978113557839188,0.3716965811299839,0.16589029008580233,573,107,0.18673647469458987,0.020922306588817923,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
23,2.3,0.08802507661360187,0.4142580489315239,0.1320122711504007,557,124,0.22262118491921004,0.02973611518489987,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
24,2.4,0.07788380271645444,0.5804780494470421,-0.09618138293310777,552,151,0.27355072463768115,0.04489799936988028,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
25,2.5,0.22302560775307587,0.3502391721693879,-0.008319829472150472,548,107,0.19525547445255476,0.022874820182215358,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
26,2.6,0.3442128817379438,0.4278962904997997,0.22927818934000269,531,103,0.19397363465160075,0.022575462563971613,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
27,2.7,0.1720541660765122,0.4979732973890383,0.14240769036611303,519,117,0.2254335260115607,0.03049216479000301,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
28,2.8,-0.1520357542399386,0.595110621082037,-0.00710378962698116,511,197,0.38551859099804303,0.08917475040306984,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
29,2.9,-0.27956543452696525,2.96185269829286,-0.2684935040346607,509,438,0.8605108055009824,0.344204322200393,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
30,3.0,0.025536505477642326,0.4126024811051935,-0.08565822770751548,508,50,0.0984251968503937,0.005812511625023251,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
31,3.1,0.32212147181855644,2.090542743829594,-0.35201884714196996,507,454,0.8954635108481263,0.3581854043392505,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
32,3.2,0.3377197151865585,3.965446606189405,-0.5155149669696938,493,440,0.8924949290060852,0.35699797160243407,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
33,3.3,-0.3462264905603585,2.941783040373487,-0.3001907305771393,488,423,0.8668032786885246,0.34672131147540985,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
34,3.4,-0.27275269676481034,7.997665195443932,-1.8141869606568215,483,420,0.8695652173913043,0.34782608695652173,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
35,3.5,0.0014095355541089824,6.676449349973711,-0.6452560481947036,470,416,0.8851063829787233,0.35404255319148936,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
36,3.6,0.19818657456923006,0.4876035990574093,0.12512249885248564,462,95,0.20562770562770563,0.02536965199302862,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
37,3.7,0.10087466907444143,4.415827049336513,-0.5880609065114887,457,420,0.9190371991247265,0.3676148796498906,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
38,3.8,0.011559090815131621,6.86368878347595,-0.605887148579389,452,409,0.9048672566371682,0.3619469026548673,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
39,3.9,0.14242870512411202,0.4501994272829604,-0.05377443569030969,448,65,0.14508928571428573,0.012630540497448984,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
40,4.0,-0.22951948069699402,0.6288238558763835,0.010617008903547956,445,110,0.24719101123595505,0.03666203762151243,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
41,4.1,-0.34238381992130495,0.6031004450682701,-0.028775562601888006,444,99,0.22297297297297297,0.029830168005843677,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
42,4.2,-0.15801933291528122,0.5803332946503966,-0.11683125004644312,441,98,0.2222222222222222,0.02962962962962963,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
43,4.3,0.3903820993845595,-0.706320987721062,-0.09864487398305838,433,316,0.7297921478060047,0.2919168591224019,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
44,4.4,0.3358482802140175,5.113611362864118,0.07460742266555762,424,332,0.7830188679245284,0.31320754716981136,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
45,4.5,-0.15014115982084722,0.7506971254558279,0.07564785181333811,418,38,0.09090909090909091,0.004958677685950413,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
46,4.6,-0.03354972113942391,0.5020351853534148,-0.003957464851107359,411,59,0.1435523114355231,0.012364359671088851,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
47,4.7,-0.30596327725159067,0.43639676689245177,0.02870110063518931,402,7,0.017412935323383085,0.00018192618994579342,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only|too_few_pose_inliers
48,4.8,-0.08549496970208335,4.798142994645833,0.044932547764786855,400,295,0.7375,0.29500000000000004,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
49,4.9,-0.011149408608138792,0.5695407160228628,-0.007469420465336611,389,124,0.31876606683804626,0.06096708322043866,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
50,5.0,0.08267802395005439,0.5277774891069011,0.011508151842408715,384,58,0.15104166666666666,0.013688151041666666,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
51,5.1,0.173500143365471,0.5168448982592498,-0.03681751673436358,380,59,0.15526315789473685,0.014463988919667593,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
52,5.2,0.04768635113135585,0.5633258864701912,0.0160477609867525,375,78,0.208,0.0259584,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
53,5.3,0.12310481654615762,0.5237233074811275,0.004078940583903158,364,102,0.2802197802197802,0.04711387513585316,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
54,5.4,-0.07932928045695697,0.5108011470259606,0.03311126760935782,361,82,0.22714681440443213,0.030957405176448922,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
55,5.5,0.04768347790246262,0.5715248700990007,0.029002234848245854,358,58,0.16201117318435754,0.015748572141943137,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
56,5.6,0.22455326128035544,0.3170866630759924,-0.04358412271510869,343,192,0.5597667638483965,0.1880032979455839,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
57,5.7,0.12114914806907606,0.6953024405299247,0.02618505759147828,339,6,0.017699115044247787,0.00018795520400971102,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only|too_few_pose_inliers
58,5.8,-0.04138988793597058,-2.1182400889378807,-0.13150877021578858,316,258,0.8164556962025317,0.3265822784810127,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
59,5.9,0.09543144653319625,1.1952837612824447,-0.0026745941958011823,308,163,0.5292207792207793,0.1680447798954293,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
60,6.0,-0.40572604161251546,-4.00402432722135,0.4090793165302494,288,257,0.8923611111111112,0.3569444444444445,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
61,6.1,0.09745040577699052,-0.19270405113218633,-0.07782911952388422,281,214,0.7615658362989324,0.304626334519573,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
62,6.2,-0.04291911464656356,-3.9348409105995055,-0.3045317622157553,279,255,0.9139784946236559,0.3655913978494624,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
63,6.3,-0.032198175223986825,2.092420822044262,0.1520002513868147,277,250,0.9025270758122743,0.36101083032490977,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
64,6.4,0.44607545599103604,0.6460211649043537,0.0391287190897138,273,185,0.6776556776556777,0.2710622710622711,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
65,6.5,-0.10812997243573577,0.41804657566486364,-0.051394939115859524,272,6,0.022058823529411766,0.0002919550173010381,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only|too_few_pose_inliers
