frame_index,time_sec,yaw,pitch,roll,raw_yaw,raw_pitch,raw_roll,smoothed_yaw,smoothed_pitch,smoothed_roll,confidence,yaw_confidence,pitch_confidence,roll_confidence,status,warnings,detected_line_count,near_horizontal_count,near_vertical_count,perspective_line_count,vanishing_point_candidate_count,horizon_candidate_count,selected_horizon_y_at_center,selected_vanishing_point_x,selected_vanishing_point_y
37,3.7,-47.72,1.59,-0.84,-47.72,1.59,-0.84,,,,0.88,0.97,0.85,0.82,full,[],232,155,4,73,1121,79,169.77,415.31,108.01
38,3.8,-35.71,1.2,-0.74,-35.71,1.2,-0.74,,,,0.87,0.95,0.86,0.79,full,[],234,147,6,81,1474,90,174.03,486.56,111.95
39,3.9,-47.93,1.96,-1.15,-47.93,1.96,-1.15,,,,0.88,0.96,0.87,0.81,full,[],230,148,3,79,1634,69,165.7,413.84,106.26
40,4.0,-44.17,1.64,-1.1,-44.17,1.64,-1.1,,,,0.87,0.95,0.84,0.81,full,[],266,163,4,99,2637,71,169.21,439.31,126.21
41,4.1,-37.61,1.47,-2.49,-37.61,1.47,-2.49,,,,0.88,0.96,0.85,0.82,full,[],250,146,3,101,2994,71,171.1,476.94,125.0
42,4.2,-50.4,1.3,-1.13,-50.4,1.3,-1.13,,,,0.85,0.96,0.8,0.8,full,[],232,144,5,83,2487,61,172.87,394.92,139.82
43,4.3,-45.29,1.03,-1.59,-45.29,1.03,-1.59,,,,0.86,0.96,0.82,0.8,full,[],277,151,2,124,5497,60,175.83,432.09,152.38
44,4.4,-28.84,0.5,-0.0,-28.84,0.5,-0.0,,,,0.86,0.97,0.82,0.8,full,[],276,157,3,116,4690,59,181.55,518.02,133.47
45,4.5,-37.24,1.37,-0.76,-37.24,1.37,-0.76,,,,0.87,0.96,0.87,0.79,full,[],284,146,3,135,6512,61,172.12,478.87,127.0
46,4.6,-38.55,1.05,-1.51,-38.55,1.05,-1.51,,,,0.88,0.96,0.88,0.81,full,[],295,176,5,114,4414,55,175.62,471.97,133.67
47,4.7,-36.02,0.21,-0.99,-36.02,0.21,-0.99,,,,0.86,0.95,0.81,0.81,full,[],261,160,3,98,3580,51,184.77,485.05,148.54
48,4.8,-22.85,0.53,-2.2,-22.85,0.53,-2.2,,,,0.86,0.97,0.82,0.8,full,[],305,197,1,107,3859,60,181.26,542.21,143.96
49,4.9,-30.47,0.31,-0.0,-30.47,0.31,-0.0,,,,0.88,0.96,0.85,0.82,full,[],252,161,2,89,2885,47,183.68,510.97,154.55
50,5.0,-19.44,0.38,-0.81,-19.44,0.38,-0.81,,,,0.88,0.96,0.87,0.81,full,[],273,188,1,84,2446,43,182.87,555.01,151.17
51,5.1,-21.77,-0.34,-0.0,-21.77,-0.34,-0.0,,,,0.87,0.96,0.82,0.83,full,[],278,152,2,124,5345,34,190.67,546.31,149.67
52,5.2,3.84,0.36,-1.13,3.84,0.36,-1.13,,,,0.86,0.97,0.8,0.81,full,[],254,165,2,87,2636,39,183.08,633.56,147.13
53,5.3,-3.05,-0.61,-0.86,-3.05,-0.61,-0.86,,,,0.88,0.97,0.87,0.81,full,[],241,181,0,60,1234,41,193.66,611.04,158.01
54,5.4,9.36,-0.65,0.62,9.36,-0.65,0.62,,,,0.87,0.97,0.81,0.82,full,[],237,164,5,68,1614,33,194.0,651.84,149.47
55,5.5,18.89,-0.73,-0.0,18.89,-0.73,-0.0,,,,0.87,0.98,0.81,0.83,full,[],200,118,6,76,1876,19,194.88,685.0,140.41
56,5.6,27.51,0.33,-0.0,27.51,0.33,-0.0,,,,0.87,0.97,0.83,0.81,full,[],189,115,5,69,1604,24,183.38,718.38,153.21
57,5.7,23.83,-1.17,-0.0,23.83,-1.17,-0.0,,,,0.89,0.97,0.86,0.83,full,[],172,111,4,57,1085,31,199.66,703.61,132.76
58,5.8,33.33,-1.22,-0.0,33.33,-1.22,-0.0,,,,0.88,0.98,0.84,0.81,full,[],175,86,6,83,2402,25,200.21,743.97,132.69
59,5.9,3.12,-1.19,0.91,3.12,-1.19,0.91,,,,0.87,0.96,0.84,0.8,full,[],119,65,4,50,918,29,199.94,631.2,139.49
60,6.0,33.52,-1.36,-0.0,33.52,-1.36,-0.0,,,,0.86,0.96,0.83,0.79,full,[],131,79,5,47,782,36,201.73,744.88,142.84
61,6.1,45.25,-1.66,-0.0,45.25,-1.66,-0.0,,,,0.87,0.98,0.85,0.79,full,[],105,69,2,34,372,35,204.98,809.61,139.5
62,6.2,24.52,-2.23,-0.0,24.52,-2.23,-0.0,,,,0.89,0.97,0.91,0.8,full,[],97,33,5,59,1356,13,211.13,706.28,123.92
63,6.3,38.31,-2.81,0.92,38.31,-2.81,0.92,,,,0.88,0.96,0.89,0.8,full,[],82,41,4,37,502,19,217.43,768.72,151.33
64,6.4,19.29,-2.14,0.86,19.29,-2.14,0.86,,,,0.87,0.96,0.86,0.8,full,[],74,36,3,35,454,20,210.21,686.45,133.12
65,6.5,42.72,-3.02,-0.0,42.72,-3.02,-0.0,,,,0.88,0.97,0.87,0.8,full,[],90,51,5,34,470,24,219.71,793.7,132.69
66,6.6,42.02,-2.4,-0.0,42.02,-2.4,-0.0,,,,0.9,0.97,0.92,0.8,full,[],87,44,3,40,620,23,213.0,789.48,138.91
67,6.7,23.94,-2.94,-0.0,23.94,-2.94,-0.0,,,,0.88,0.97,0.86,0.8,full,[],80,38,3,39,610,19,218.92,704.02,139.88
68,6.8,48.16,-2.27,1.07,48.16,-2.27,1.07,,,,0.86,0.95,0.83,0.79,full,[],90,57,2,31,346,27,211.59,829.87,144.0
69,6.9,34.17,-3.32,-2.79,34.17,-3.32,-2.79,,,,0.87,0.96,0.86,0.79,full,[],74,43,2,29,330,19,223.06,747.94,131.07
70,7.0,37.27,-3.21,-0.0,37.27,-3.21,-0.0,,,,0.87,0.97,0.85,0.79,full,[],82,52,3,27,296,22,221.84,763.31,119.05
71,7.1,31.87,-2.86,0.7,31.87,-2.86,0.7,,,,0.89,0.96,0.92,0.79,full,[],65,39,4,22,195,18,218.0,737.25,135.8
72,7.2,44.04,-3.04,1.05,44.04,-3.04,1.05,,,,0.87,0.96,0.86,0.8,full,[],78,49,0,29,338,23,219.97,801.84,143.36
73,7.3,23.47,-3.13,-0.0,23.47,-3.13,-0.0,,,,0.87,0.97,0.85,0.8,full,[],82,56,2,24,219,25,220.94,702.19,133.58
74,7.4,37.53,-2.84,-0.9,37.53,-2.84,-0.9,,,,0.86,0.98,0.81,0.79,full,[],64,41,0,23,217,12,217.79,764.63,138.83
75,7.5,16.68,-3.54,-0.0,16.68,-3.54,-0.0,,,,0.87,0.97,0.85,0.8,full,[],72,46,1,25,257,15,225.46,677.04,136.28
76,7.6,27.01,-2.79,2.15,27.01,-2.79,2.15,,,,0.88,0.97,0.86,0.8,full,[],71,40,0,31,383,16,217.3,716.32,134.16
77,7.7,15.4,-2.86,2.79,15.4,-2.86,2.79,,,,0.88,0.97,0.88,0.79,full,[],71,37,3,31,321,12,218.01,672.51,134.85
78,7.8,45.13,-3.16,2.31,45.13,-3.16,2.31,,,,0.86,0.98,0.81,0.79,full,[],58,42,0,16,71,16,221.32,808.86,150.33
79,7.9,35.44,-4.23,2.79,35.44,-4.23,2.79,,,,0.88,0.97,0.88,0.79,full,[],49,32,0,17,102,6,232.92,754.09,146.68
80,8.0,7.03,-1.85,2.7,7.03,-1.85,2.7,,,,0.83,0.91,0.81,0.77,full,[],52,40,0,12,51,7,207.06,644.06,202.35
81,8.1,53.03,-1.96,3.15,53.03,-1.96,3.15,,,,0.85,0.93,0.84,0.78,full,[],60,33,2,25,200,10,208.24,869.4,200.96
82,8.2,60.66,-2.74,-1.57,60.66,-2.74,-1.57,,,,0.84,0.96,0.8,0.76,full,[],61,27,1,33,374,7,216.68,953.65,210.63
83,8.3,55.0,-1.09,2.23,55.0,-1.09,2.23,,,,0.84,0.92,0.83,0.77,full,[],70,28,2,40,546,6,198.78,888.08,211.45
84,8.4,62.33,-2.35,-0.0,62.33,-2.35,-0.0,,,,0.84,0.95,0.79,0.77,full,[],72,35,4,33,364,13,212.53,977.59,203.72
85,8.5,39.81,-0.12,-1.85,39.81,-0.12,-1.85,,,,0.82,0.92,0.79,0.76,full,[],71,41,2,28,249,12,188.33,776.87,205.15
86,8.6,57.4,-0.95,-0.0,57.4,-0.95,-0.0,,,,0.84,0.94,0.79,0.78,full,[],73,37,3,33,318,15,197.34,913.42,209.07
87,8.7,51.57,4.72,-0.0,51.57,4.72,-0.0,,,,0.83,0.93,0.8,0.77,full,[],68,25,4,39,530,9,135.69,856.64,195.14
88,8.8,61.27,4.77,-0.0,61.27,4.77,-0.0,,,,0.84,0.97,0.76,0.78,full,[],64,22,8,34,340,7,135.2,962.2,203.34
89,8.9,55.12,-0.82,-0.0,55.12,-0.82,-0.0,,,,0.85,0.95,0.81,0.78,full,[],61,19,5,37,478,10,195.89,889.29,197.8
90,9.0,60.05,1.4,-0.0,60.05,1.4,-0.0,,,,0.85,0.97,0.81,0.78,full,[],70,23,5,42,635,13,171.77,945.58,195.46
91,9.1,62.01,2.57,-0.0,62.01,2.57,-0.0,,,,0.87,0.99,0.82,0.79,full,[],77,23,6,48,763,17,159.11,972.78,193.15
92,9.2,59.2,2.12,-0.0,59.2,2.12,-0.0,,,,0.86,0.98,0.81,0.78,full,[],79,23,8,48,812,11,164.0,934.67,192.83
